nombre,L,c,area_entrada,area_salida,ganancia_espectral,freqs,S_L,L0,T_axial,tipo
cuerda5,1.19926249886305,1062.2942833734232,283448384.672334,1206155195527.0547,4255.290418823056,"[0.00000000e+00 9.99999368e-02 1.99999874e-01 ... 7.82445505e+04
 7.82446505e+04 7.82447505e+04]","[ 1.68433571  1.68434141  1.68435851 ... 55.01044864 55.01044864
 55.01044864]",1,15.0,mejor
cuerda1,1.3444731998331156,134.2139866744302,112606.7665835312,43393605.55452065,385.3552221689224,"[0.00000000e+00 9.99994680e-02 1.99998936e-01 ... 8.81775309e+03
 8.81785309e+03 8.81795308e+03]",[0.00936453 0.0093677  0.00937364 ... 0.03664047 0.03664047 0.03664047],1,15.0,peor
cuerda4,1.9065429296797167,689.8547493961624,24668622.132204816,37492101476.929184,1519.829574428616,"[0.00000000e+00 9.99999318e-02 1.99999864e-01 ... 3.19618782e+04
 3.19619782e+04 3.19620782e+04]","[13.51869808 13.51868997 13.51866563 ...  0.19512694  0.19512694
  0.19512694]",1,16.0,medio
cuerda5,1.21254666545392,1068.1615687136075,279940498.21517426,1183835146654.875,4228.881330863849,"[0.00000000e+00 9.99999503e-02 1.99999901e-01 ... 7.78147613e+04
 7.78148613e+04 7.78149613e+04]","[14.61177032 14.61175741 14.6117187  ... 12.8722049  12.8722049
 12.8722049 ]",1,16.0,mejor
cuerda1,1.3674380798219898,135.3553844940934,109096.03852805636,43001932.88110874,394.16585112803966,"[0.00000000e+00 9.99999359e-02 1.99999872e-01 ... 8.74339439e+03
 8.74349439e+03 8.74359439e+03]",[0.01565885 0.01564459 0.01561866 ... 0.00020461 0.00020461 0.00020461],1,16.0,peor
cuerda4,1.9632018627847,700.0303074226442,23409084.567977726,34992580807.63749,1494.8290996182443,"[0.00000000e+00 9.99999380e-02 1.99999876e-01 ... 3.14972805e+04
 3.14973805e+04 3.14974805e+04]","[21.70735876 21.70735105 21.70732793 ...  0.5639272   0.5639272
  0.5639272 ]",1,17.0,medio
cuerda5,1.2258308320447902,1073.9968013293033,276509107.1804502,1162874178650.839,4205.554712134475,"[0.00000000e+00 9.99999710e-02 1.99999942e-01 ... 7.73919776e+04
 7.73920776e+04 7.73921776e+04]","[155.21917656 155.21912946 155.21898813 ...   2.39460388   2.39460388
   2.39460388]",1,17.0,mejor
cuerda1,1.3904029598108645,136.4872375134159,105858.46205590384,42576245.97577144,402.1997405676168,"[0.00000000e+00 9.99998343e-02 1.99999669e-01 ... 8.67088563e+03
 8.67098563e+03 8.67108563e+03]","[4.57374920e-01 4.57384631e-01 4.57400058e-01 ... 4.94664411e-05
 4.94663694e-05 4.94663336e-05]",1,17.0,peor
cuerda4,2.0198607958896817,710.0600589781413,22233046.040104207,32707978382.456898,1471.1424751902143,"[0.00000000e+00 9.99999068e-02 1.99999814e-01 ... 3.10523711e+04
 3.10524711e+04 3.10525711e+04]",[0.67705014 0.67705184 0.67705693 ... 3.86735086 3.86735086 3.86735086],1,18.0,medio
cuerda5,1.23911499863566,1079.8005008585776,273152211.7658519,1142131045617.2927,4181.2989110860135,"[0.00000000e+00 9.99999493e-02 1.99999899e-01 ... 7.69759610e+04
 7.69760610e+04 7.69761610e+04]","[1.89987667e+02 1.89987640e+02 1.89987558e+02 ... 8.32677091e-02
 8.32677090e-02 8.32677090e-02]",1,18.0,mejor
cuerda1,1.413367839799739,137.60978125316288,102864.61198031326,41284824.10492948,401.3510896520056,"[0.00000000e+00 9.99994343e-02 1.99998869e-01 ... 8.60015135e+03
 8.60025135e+03 8.60035135e+03]",[0.00033868 0.00033219 0.00032215 ... 0.00689776 0.00689776 0.00689776],1,18.0,peor
cuerda4,2.0765197289946644,719.9500978552899,21133071.15988857,30616866176.88092,1448.7655838207268,"[0.00000000e+00 9.99999920e-02 1.99999984e-01 ... 3.06257976e+04
 3.06258976e+04 3.06259976e+04]",[0.02862445 0.02862556 0.02862891 ... 0.01650896 0.01650896 0.01650896],1,19.0,medio
cuerda5,1.25239916522653,1085.5731730488253,269866651.37292945,1121715086255.8315,4156.553173758882,"[0.00000000e+00 9.99999743e-02 1.99999949e-01 ... 7.65666803e+04
 7.65667803e+04 7.65668803e+04]","[ 7.79151911  7.79152867  7.79155732 ... 23.91055472 23.91055472
 23.91055472]",1,19.0,mejor
cuerda1,1.4363327197886129,138.72324170463676,100083.45240760042,37391120.087304,373.59942315963207,"[0.00000000e+00 9.99996522e-02 1.99999304e-01 ... 8.53117033e+03
 8.53127033e+03 8.53137033e+03]",[0.34465606 0.34487507 0.34518432 ... 0.00962952 0.00962952 0.00962952],1,19.0,peor
cuerda4,2.1331786620996467,729.7061048447115,20103388.055317603,28698379836.0936,1427.539465344127,"[0.00000000e+00 9.99999476e-02 1.99999895e-01 ... 3.02163842e+04
 3.02164842e+04 3.02165842e+04]","[50.46222319 50.46222321 50.46222328 ...  0.32792585  0.32792585
  0.32792585]",1,20.0,medio
cuerda5,1.2656833318174,1091.3153102711217,266651037.21472177,1101805303868.474,4132.012068572008,"[0.00000000e+00 9.99999487e-02 1.99999897e-01 ... 7.61637609e+04
 7.61638609e+04 7.61639609e+04]","[3.90575563e+02 3.90575538e+02 3.90575462e+02 ... 2.36215988e-02
 2.36215988e-02 2.36215988e-02]",1,20.0,mejor
cuerda1,1.4592975997774873,139.82783586090008,97496.15812351408,35219202.85433271,361.2368275036527,"[0.00000000e+00 9.99997081e-02 1.99999416e-01 ... 8.46377530e+03
 8.46387530e+03 8.46397530e+03]",[0.15683779 0.15686035 0.15688966 ... 0.00950533 0.00950533 0.00950533],1,20.0,peor
cuerda4,5.283294665524911,513.5725212445133,102297.53302758477,37209916.40139256,363.7420698244876,"[0.00000000e+00 9.99994943e-02 1.99998989e-01 ... 8.58635658e+03
 8.58645658e+03 8.58655657e+03]",[0.28622321 0.28641424 0.28670462 ... 0.03243808 0.03243808 0.03243808],5,1.0,medio
cuerda3,5.081748717482277,984.0533645203102,1510028.0419012024,1433949299.8502502,949.6176627586564,"[0.00000000e+00 9.99998591e-02 1.99999718e-01 ... 1.71050759e+04
 1.71051759e+04 1.71052759e+04]",[3.13903392 3.1390368  3.13904546 ... 0.55094302 0.55094302 0.55094302],5,1.0,mejor
cuerda1,5.114824399944372,117.07173751186826,337.9047762003993,26948.437241902124,79.75157245460173,"[0.00000000e+00 9.99993144e-02 1.99998629e-01 ... 2.02158614e+03
 2.02168614e+03 2.02178614e+03]","[2.94361455e-03 2.93843422e-03 2.91929176e-03 ... 1.09492227e-06
 1.09492240e-06 1.09492246e-06]",5,1.0,peor
cuerda4,5.566589331049824,527.1618258402688,93903.18514487182,33767452.777795754,359.5985879041276,"[0.00000000e+00 9.99995094e-02 1.99999019e-01 ... 8.36505896e+03
 8.36515896e+03 8.36525896e+03]",[0.05780585 0.05774209 0.05767388 ... 0.00980665 0.00980665 0.00980665],5,2.0,medio
